菜色名稱,菜色類別,每一份量,單位,每一份量說明,熱量(大卡),蛋白質(克),脂肪(克),碳水化合物(克),膳食纖維(克)
羊肉泡饃,主食,902,公克,902g,850,18.7,31.8,121.8,0
羊肉炒麵,主食,488,公克,488g,974,28.8,38.7,125.5,0
炒米粉,主食,293,公克,293g,453,0.5,13.8,82.5,0
粉呇,副菜,234,公克,234g,308,24.4,6.1,37.8,0
客家粿粽,主食,90,公克,90g,239,4.8,5.8,40.5,0
客家湯圓,湯品,394,公克,394g,365,7.8,11.6,56.2,0
玉米餅,副菜,270,公克,270g,546,10.2,25,70.3,0
勾勾羹,湯品,358,公克,358g,312,28.4,8.5,29,0
甜熱芋泥,點心,228,公克,228g,241,1.7,6.5,44.4,0
水蒸鹹蛋糕,點心,53,公克,53g,178,8.5,8.7,16.2,0
水蒸紅豆蛋糕,點心,76,公克,76g,190,5.4,5.7,29.9,0
布丁蛋糕,點心,47,公克,47g,125,3.3,6.7,13.2,0
竹塹餅,點心,84,公克,84g,434,5.4,26.3,45.4,0
海鮮燴飯,主食,557,公克,557g,694,22.7,17.9,109.2,0
炒麵,主食,330,公克,330g,687,15.3,30.5,89.6,0
湯粄條,主食,333,公克,333g,325,6.8,11.6,49.5,0
薏仁小米粥,主食,256,公克,256g,162,4.2,0.8,33.7,0
豬肉餡餅,主食,100,公克,100g,324,7.8,20.2,27.4,0
蔥油餅,主食,71.5,公克,71.5g,270.5,4.05,14.4,31.1,0
水晶餃湯,湯品,326,公克,326g,514,8.1,17.1,81.8,0
餛飩湯,湯品,301,公克,301g,181,12.6,10.5,27.8,0
黑輪,副菜,427,公克,427g,313,20.8,7.2,41.9,0
客家Q餅,點心,108,公克,108g,366,9.2,10.3,59.3,0
客家發糕,點心,126,公克,126g,404,6.7,0.5,94.2,0
木頭餅,點心,100,公克,100g,327,13.6,12.2,40.8,0
草莓大福,點心,70,公克,70g,128,2.6,1.7,25.6,0
紅豆麻糬,點心,72,公克,72g,146,3.3,1.9,28.8,0
肚臍餅,點心,51,公克,51g,114,3.4,2.6,19.4,0
古早味肉餅,點心,,,花豆,179,1.8,3.8,26.3,0
紅豆粄,點心,55,公克,55g,124,1.5,0.1,29.4,0
艾草粄,點心,51,公克,51g,113,1,0.1,27.2,0
黑糖發糕,點心,80,公克,80g,185,3.4,1,40.4,0
黑糖米糕,點心,63,公克,63g,138,2.1,0.8,30.4,0
大麵羹,主食,355,公克,355g,367,11.3,7.2,65,0
羊肉羹,湯品,372,公克,372g,344,19.6,22.4,15.3,0
羊肉羹麵,主食,550,公克,550g,708,31.9,26.6,85.1,0
麵線糊,主食,715,公克,715g,688,21.9,22.7,100.4,0
涼麵,主食,347,公克,347g,474,16,18,62,0
飯糰,主食,291,公克,291g,519,22.7,19.6,60.9,0
半月燒,主食,145,公克,145g,400,12.2,15.5,52.9,0
炒麵麵包,主食,265,公克,265g,634,17.8,26.3,82.4,0
三明治,主食,73,公克,73g,211,6.4,7.3,28.4,0
泡菜醬料雞排,主菜,204,公克,204g,563,31.4,36.7,28.1,0
烤玉米,副菜,168,公克,168g,177,6.4,8.1,19.2,0
起司馬鈴薯,副菜,232,公克,232g,333,12.5,15.1,36.8,0
豐仁冰,點心,431,公克,431g,568,13.5,6.6,117.9,0
蜜豆冰,點心,290,公克,290g,552,16.9,2.2,118.9,0
冷凍芋,點心,316,公克,316g,247,3,1.3,55.8,0
粉圓豆花,點心,370,公克,370g,578,23.9,12.9,95.4,0
湯圓豆花,點心,380,公克,380g,288,7.8,3,57.2,0
珍珠奶茶,點心,369,公克,369g,331,0.7,10.8,59.2,0
銅鑼燒,點心,82,公克,82g,224,4.7,7.4,34.9,0
蜂蜜蛋糕,點心,49,公克,49g,176,3.2,8.7,21.6,0
乳酪蛋糕,點心,59,公克,59g,216,11.5,13,13.2,0
太陽餅,點心,52,公克,52g,265,3,14.8,29.9,0
綠豆龍睛酥,點心,50,公克,50g,178,2.4,7,26.6,0
芋頭龍睛酥,點心,51,公克,51g,155,3.1,3.1,26.8,0
香菇龍睛酥,點心,48,公克,48g,165,2.4,6,24.9,0
雪花餅,點心,104,公克,104g,397,8.8,7.8,55.8,0
冰沙餅,點心,50,公克,50g,170,3.8,5.1,27.2,0
杏仁脆片,點心,5,公克,5g,27.5,0.9,1.7,2.4,0
菓汁香干絲,點心,4,公克,3.75g,12.8,1,0.6,0.8,0
沙茶豆腐乾,點心,6,公克,5.83g,19.8,1.6,0.9,1.3,0
滷肉飯,主食,287,公克,287g,538,12.5,21.1,74.4,0
豐原市肉粽,主食,179,公克,179g,396,9.4,17.9,47.8,0
媳婦肉粽,主食,104,公克,104g,314,9.8,19.3,24.4,0
鵝肉麵,主食,727,公克,727g,579,26.6,29.4,51.7,0
排骨酥麵,主食,738,公克,738g,747,23.3,20,119.5,0
水煎包,主食,123,公克,123g,288,8.4,9.2,42.4,0
海鮮總匯起司煎包,主食,301,公克,301g,441,24.6,26,27.9,0
三角肉圓仔,主食,380,公克,380g,377,5.2,21.3,41.2,0
涼圓,點心,122,公克,122g,174,5.3,2.4,35.7,0
粉腸,副菜,300,公克,300g,395,11.6,9,67.4,0
肉粿,主食,110,公克,110g,209,9.9,9.5,21.5,0
蚵仔粿,主食,109,公克,109g,248,7.5,11.7,29.1,0
碗粿,主食,240,公克,240g,324,7,14.5,39.3,0
甜碗粿,點心,250,公克,250g,274,3.2,0.3,65.8,0
豬血湯,湯品,390,公克,390g,96,5.5,7,2.5,0
雞腳凍,副菜,31,公克,31.2g,36.6,4,2.22,0,0
手工饅頭,主食,110,公克,110g,272,8.9,1.3,56.4,0
烤地瓜,主食,187,公克,187g,291,2.4,0.7,67.2,0
糖煮地瓜,點心,244,公克,244g,335,2.2,0.7,78.9,0
糖煮芋頭,點心,193,公克,193g,278,4.2,1.9,60.6,0
芋仔冰,點心,23,公克,23g,29.3,0.3,0.6,5.9,0
酸梅冰,點心,370,公克,370g,230,0,1.5,55.5,0
酸梅汁,飲品,328,公克,328g,181,0,0,45.3,0
鳳梨牛奶冰,點心,395,公克,395g,219,5.1,5.7,38.9,0
彎豆冰,點心,480,公克,480g,780,27.2,11.8,143,0
鹹蛋糕,點心,43,公克,43g,126,2.6,7,13.3,0
芋頭酥,點心,52,公克,52g,236,3.3,9.8,33.6,0
煎餅,點心,9,公克,9g,29.5,0.6,0.4,5.9,0
吊鐘燒,點心,30,公克,30g,68,0.8,2.2,11.4,0
奶油酥餅,點心,75,公克,75g,347,4,15.6,47.8,0
小月餅,點心,48,公克,48g,192,4.2,7.9,26.1,0
紅豆奶油派,點心,92,公克,92g,213,9.4,7.5,27.1,0
月餅,點心,101,公克,101g,371,13,11.9,53.3,0
美人腿蝦餅,主菜,135,公克,135g,437,14.5,32.8,20,0
牛肉餡餅,主食,75,公克,75g,205,7.8,11.8,16.7,0
古早麵,主食,172,公克,172g,244,9.8,7.9,34.5,0
意麵,主食,338,公克,338g,379,13.4,8.3,61.3,0
魚翅肉羹,湯品,310,公克,310g,218,9.6,14.3,13,0
大腸麵線,主食,397,公克,397g,416,10,17.5,55.8,0
竹筒飯,主食,180,公克,180g,296,5.7,5.7,54.4,0
紅麴豬腳,主菜,12,公克,11.67g,26.7,2.17,1.97,0.1,0
紹興酒香腸,主菜,67,公克,67g,228,10.4,18,8.5,0
酒蛋,副菜,47,公克,47g,64,6.9,4.3,0.5,0
鹹湯圓,點心,373,公克,373g,302,13.1,9.2,40.6,0
甜湯圓,點心,370,公克,370g,423,9.3,3.2,88.5,0
蕃薯包,主食,117,公克,117g,216,2.6,9.9,32.9,0
蜜蕃薯,點心,25,公克,25g,50.5,0.3,0.1,12.2,0
紅薯餅,點心,100,公克,100g,276,3.9,11,37,0
花生仁豆花,點心,365,公克,365g,295,11.4,16.6,28.6,0
碗糕,主食,167,公克,167g,246,6.2,13.9,24.3,0
綠豆粉粿,點心,20,公克,20g,36,0.6,0,9.2,0
紅麴蛋捲,點心,18,公克,18g,63.5,1.2,2.7,8.8,0
麻糬,點心,44,公克,44g,120,3,4.6,17.4,0
清冰,點心,89,公克,89g,69,0.1,0,17.2,0
紅豆牛奶冰,點心,89,公克,89g,93,1.5,0.7,20.2,0
紹興米糕冰,點心,85,公克,85g,246,1.3,0.2,58.2,0
香菇肉包,主食,86,公克,86g,201,9.1,3,33.6,0
蛋黃肉包,主食,90,公克,90g,291,9.8,13.8,31,0
素麵,主食,404,公克,404g,494,23.4,11,76.8,0
貓鼠麵,主食,360,公克,360g,388,13.6,11,59.9,0
蛤仔麵,主食,383,公克,383g,434,16.6,10.5,69.1,0
錦魯麵,主食,654,公克,654g,678,45.1,20.7,78.1,0
米苔目湯,湯品,611,公克,611g,307,1.7,6.7,60.8,0
赤牛麵,主食,854,公克,854g,740,43.6,26.2,78.9,0
九層粿,主菜,204,公克,204g,410,5.8,21.8,47.3,0
肉圓仔湯,主食,370,公克,370g,198,4.7,6.2,30.2,0
高麗菜飯,主食,280,公克,280g,584,32,17.4,71.5,0
扁食(食燕),主菜,362,公克,362g,238,10.5,17.2,10.6,0
蝦丸湯,湯品,251,公克,251g,93,4.8,5.1,7.3,0
芋丸,點心,179,公克,179g,208,9.1,2.2,37.2,0
芋頭甜湯,點心,382,公克,382g,410,6,1.3,94.5,0
桂圓蛋糕,點心,57,公克,57g,234,1.9,7.9,39.1,0
鹹麻糬,點心,30,公克,30g,61,2.8,0.5,11.3,0
千層酥,點心,3,公克,3.33g,13.6,0.1,0.7,1.6,0
口酥餅,點心,4.6,公克,4.6g,22.6,0.4,1.1,3.1,0
牛舌餅,點心,60,公克,60g,248,3.8,7.4,41.6,0
豬油粩,點心,10,公克,10g,45.5,0.4,1.6,7.5,0
原味鳳眼糕,點心,1,公克,1g,3.8,0,0,0.9,0
綠豆糕,點心,17,公克,17g,77,1.2,2.7,11.9,0
麵茶,點心,7,公克,7.2g,30,0.5,0.4,6.2,0
李子鹹,點心,16,公克,16g,30.5,0.2,0,7.4,0
蜜棗,點心,5.4,公克,5.4g,12.2,0.1,0.02,2.8,0
鴨肉飯,主食,260,公克,260g,456,14.2,12.4,69.5,0
鴨肉羹,湯品,320,公克,320g,266,15,17.3,12.3,0
紅燒豆枝羹,湯品,370,公克,370g,251,22.9,13.1,11.3,0
魷魚嘴羹,湯品,378,公克,378g,252,18.7,13.6,14.1,0
煎粿,主食,480,公克,480g,649,10.2,24.1,96.6,0
當歸鴨麵線,主食,830,公克,830g,548,28.4,21.9,56.8,0
煙燻鵝翅麵,主食,857,公克,857g,584,23.5,30.5,55.6,0
羊肉米糕,主食,153,公克,153g,304,11.2,12.1,34.6,0
三角大水餃,主食,110,公克,110g,196,4.4,4.3,35.1,0
芋圓圓仔湯,點心,390,公克,390g,428,12.4,1.3,92.2,0
麥芽餅,點心,25,公克,25g,120,2.8,5.2,15.6,0
肉脯喜餅,點心,35,公克,35g,169,2.3,8.7,20.6,0
平安酥餅,點心,28,公克,28g,105,1.4,5.6,14,0
狀元囍餅,點心,80,公克,80g,307,9.8,10,45.4,0
肉餅,主菜,39,公克,39g,188,2.5,9.7,22.9,0
麥芽酥,點心,25,公克,25g,88,4.2,7.2,14.6,0
鳥仔餅,點心,30,公克,30g,110,0.7,5.1,15.6,0
鐵支路便當,主食,503,公克,503g,869,42.9,40.7,81.5,0
米寶便當,主食,372,公克,372g,529,19.7,15.1,79.1,0
蒜頭飯,主食,291,公克,291g,545,9,16.3,89,0
雞肉飯,主食,333,公克,333g,680,21.3,26.4,87.2,0
酥皮海鮮肉圓,主食,376,公克,376g,611,31.1,18,86.5,0
煎油蔥稞,主菜,434,公克,434g,677,12.5,24.5,100.4,0
蚵仔包,主菜,166,公克,166g,380,13.6,11.9,54.4,0
脆皮蚵爹,主菜,103,公克,103g,237,6,12.5,26,0
草仔粿(甜),點心,162,公克,162g,408,6.5,3.7,86.7,0
花生麻糬凍,點心,103,公克,103g,307,8.3,9.3,49.3,0
綠豆麻糬凍,點心,92,公克,92g,192,6.7,3.7,33.2,0
楊桃冰,點心,294,公克,294g,308,0.8,0.1,82.4,0
粉圓冰,點心,339,公克,339g,237,0,0,59.8,0
蒜頭餅,點心,93,公克,93g,462,9.7,20.9,58.8,0
火車餅,點心,104,公克,104g,463,6.4,18.3,69,0
方塊酥,點心,19,公克,19g,89,0.1,3.8,13.9,0
紅豆羊羹,點心,42,公克,42g,121,1.4,0,29.6,0
雙仁潤,點心,7,公克,7.33g,30.3,0.8,0.9,4.9,0
芭蕉飴,點心,9,公克,8.67g,30,0.1,0,7.3,0
花生粉新港飴,點心,17,公克,17g,71,1.8,2,11.4,0
花生新港飴,點心,15,公克,15g,62,1.6,1.8,10,0
梅子飴,點心,16,公克,16g,59,0.3,0.2,14.1,0
花生糖,點心,20,公克,20g,111,4.3,6.7,8.5,0
豌豆飴,點心,17,公克,17g,71,1.8,1.7,12.3,0
芝麻糖,點心,6,公克,6g,33,1,1.9,2.9,0
蜜果,點心,14,公克,14g,50.5,0.2,0.1,12.6,0
花果酥,點心,30,公克,30g,167,6.7,11,10.2,0
蜜餞,點心,5,公克,5g,10,0.2,0,3.2,0
羊肉飯,主食,473,公克,473g,865,29.4,39.6,95.3,0
燒肉飯,主食,441,公克,441g,799,27.5,44.3,71.8,0
蝦仁飯,主食,263,公克,263g,514,9.4,19.6,74.1,0
豬頭飯,主食,216,公克,216g,416,6.3,13.1,67.1,0
豆菜麵,主食,273,公克,273g,327,11.4,3.2,64,0
鍋燒意麵,主食,772,公克,772g,607,23.3,28.6,66.3,0
魚麵,主食,284,公克,284g,127,8,6,10,0
滷麵,主食,762,公克,762g,850,47.7,36.9,81.4,0
小卷米粉,主食,586,公克,586g,358,14.1,1.2,73.1,0
虱目魚鹹粥,主食,349,公克,349g,317,11.6,16.9,28.4,0
大腸粥,主食,362,公克,362g,315,8.9,20.8,23.8,0
八寶粽,主食,397,公克,397g,911,31.4,44.9,92.6,0
豬舌包,主食,98,公克,98g,251,10.3,8,34,0
蝦仁肉圓,主食,154,公克,154g,366,11.8,22.9,28,0
糯米腸,副菜,116,公克,116g,222,3.6,7.4,34.9,0
羊肉湯,湯品,722,公克,722g,561,43.1,41.8,0.1,0
魚冊湯,湯品,187,公克,187g,111,6.9,8.8,0.5,0
鴨蛋肉絲湯,湯品,385,公克,385g,176,12.1,13.1,1.3,0
腦髓湯,湯品,225,公克,225g,165,14.3,11.5,0,0
豬心湯,湯品,265,公克,265g,69,8.8,3.5,0.5,0
土魠魚羹,湯品,449,公克,449g,349,12.5,17.9,35.8,0
白北浮水魚羹,湯品,329,公克,329g,142,15.9,3.7,10.8,0
浮水花枝羹,湯品,347,公克,347g,263,26.9,12.1,10.3,0
烤黑輪,副菜,50,公克,50g,84,5.6,2.1,10.9,0
蚵捲,主菜,55,公克,55g,147,8.7,9.8,6.3,0
棺材板,主食,180,公克,180g,531,18,26.2,56.6,0
意仁湯,點心,353,公克,353g,253,5.7,2,53.4,0
米糕粥,點心,436,公克,436g,232,3.1,0.2,56.1,0
綠豆湯,點心,306,公克,306g,254,12.6,0.5,51.5,0
芋頭冰,點心,338,公克,338g,328,3.7,1.6,74.9,0
八寶冰,點心,291,公克,291g,271,5.9,0.5,61.7,0
豆花,點心,340,公克,340g,172,7.4,3.8,28,0
杏仁豆腐,點心,217,公克,217g,319,3,21.7,30.2,0
紅磚布丁,點心,145,公克,145g,142,8.4,4.6,16.7,0
鮮奶酪布丁,點心,139,公克,139g,209,5.3,12.2,23.4,0
肉乾,點心,35,公克,35g,128,10.6,2.9,14.9,0
芝麻花生糖,點心,30,公克,30g,147,5,7.7,14.5,0
鴨片飯,主食,291,公克,291g,364,13.5,8,57.4,0
蔬菜排骨麵,主食,643,公克,643g,580,31.4,24.5,57.8,0
雞肉絲麵,主食,341,公克,341g,548,21,9.3,96.1,0
羊肉米粉,主食,325,公克,325g,308,12.2,13.4,33.8,0
當歸鴨湯,湯品,365,公克,365g,188,14.9,13.5,0.7,0
碳烤燒餅(鹹),主食,82,公克,82g,257,8.5,11.4,30.3,0
碳烤燒餅(甜),主食,86,公克,86g,347,6.3,19.5,38.9,0
燒餅,主食,210,公克,210g,459,21.9,20.5,47.3,0
酥烤蔥仔餅,主食,231,公克,231g,231,4.1,9.9,30.9,0
芋簽粿,主食,167,公克,167g,333,8.1,11.1,49.2,0
鮑魚肉包,主食,157,公克,157g,444,17.4,17.7,52.2,0
烤黑輪,副菜,34,公克,34g,82,2.1,1.9,14.4,0
花枝丸,副菜,36,公克,35.75g,94.5,5.3,6.1,4.9,0
雞蛋酥,點心,58,公克,58g,276,5.8,14.8,30,0
古早味芋簽圓,副菜,243,公克,243g,448,10.2,1.1,100.2,0
花生棋餅,點心,7,公克,6.89g,17.9,0.3,1.3,1.4,0
打狗餅,點心,38,公克,38g,158,2.9,6.3,25.3,0
鹹Q餅,點心,80,公克,80g,310,6.8,11.5,45.5,0
冬蟲夏草蛋糕,點心,56,公克,56g,211,4.5,11.7,23.2,0
軟木塞蛋糕,點心,17,公克,17g,49,1,1.7,7.5,0
芋頭蛋糕,點心,60,公克,60g,135,2.7,7.2,15,0
旗鼓餅,點心,53,公克,53g,159,7.5,3.6,24.2,0
木棉酥,點心,39,公克,39g,97,5.5,2.6,17.8,0
栗子燒,點心,48,公克,48g,129,2.9,2.9,23,0
厚片豬肉乾,點心,13,公克,13.2g,30.6,3.7,0.4,3,0
搶鍋麵,主食,1238,公克,1238g,1110,36.8,48.2,134.9,0
一口粽,主食,16,公克,15.5g,26.5,1.05,0.75,3.7,0
炸餛飩,主菜,26,公克,26g,85.7,2.47,17,6,0
超大水餃,主食,58,公克,57.5g,123.5,5.2,8.2,7.1,0
蛋黃香菇肉包,主食,178,公克,178g,529,19.7,26.2,51.9,0
紅豆麻糬包,點心,172,公克,172g,400,11.2,2.7,82,0
旗魚黑輪,副菜,40,公克,40g,102,2.8,4.7,12.3,0
沾醬蕃茄,點心,370,公克,370g,260,6.7,0.6,58.8,0
綠豆蒜,點心,392,公克,392g,280,10.5,0.6,60.8,0
燒冷冰,點心,436,公克,436g,545,16.2,10.1,98.6,0
雙糕潤,點心,53,公克,53g,139,1.5,2.3,28,0
起司蛋捲,點心,24,公克,23.5g,76,3.2,8.6,7.9,0
櫻花蝦巧克力,點心,15,公克,14.5g,66.5,1.15,4.9,9.9,0
沙琪瑪,點心,66,公克,66g,246,4,6.3,44,0
低溫慢烤紅糟豬里肌,主菜,77,公克,77.18g,162,13.5,11.5,1,0
泰式打拋豬,主菜,113,公克,112.9g,173,13.4,11.8,3,0.4
鮮烤彩蔬梅肉,主菜,124,公克,124.1g,183,15,10,8,1
黑胡椒肉絲,主菜,144,公克,143.6g,179,12,8,18,1
剝皮辣椒雞翼,主菜,138,公克,137.5g,140,10,9,5,1
味噌烤雞腿,主菜,160,公克,160g,196,19,10,5,0
雞絲拉皮,主菜,141,公克,141g,135,17,1,14,1
挪威薄鹽鯖魚,主菜,91,公克,90.8g,241,14,17,9,0
秋刀魚甘露煮,主菜,138,公克,138g,263,16,19,7,1
蠔油炒牛肉,主菜,100,公克,100g,83,11,2,6,1
糙米燕麥飯,主食,100,公克,100g,219,5,2,45,2
野蔬滷豆乾海帶,副菜,127,公克,126.5g,82.1,6.8,4.6,5.8,2.6
木耳百菇,副菜,83,公克,82.5g,26,2,0,5,2
薑黃飯,主食,100,公克,100g,219,5,2,45,2
日式蒸蛋,副菜,128,公克,127.5g,69,7,5,1,0
打拋花椰,副菜,73,公克,73g,42,3,2,3,2
紅藜糙米飯,主食,100,公克,100g,219,5,2,45,2
麻婆豆腐,主菜,141,公克,140.74g,70,7,3,1,1
彩繪大黃瓜,副菜,101,公克,100.5g,23.7,0.6,1.6,2.3,0.4
芋頭飯,主食,100,公克,100g,219,5,2,45,2
沖繩風炒胡蘿蔔,副菜,109,公克,108.5g,73,2,3,9,3
雪菜豆包,主食,141,公克,141g,52,9,3,2,1
五穀飯,主食,100,公克,100g,219,5,2,45,2
蒜味海帶茸,副菜,98,公克,98g,46,2,1,9,3
青江菜炒肉絲,副菜,110,公克,109.9g,58,4.3,4.2,1.5,1.1
紅蘿蔔燉牛角,副菜,180,公克,179.95g,61,3,2,5,2
地瓜糙米飯,主食,100,公克,100g,219,5,2,45,2
油蔥樹籽冬瓜,主菜,142,公克,142.3g,25,1,1,4,1
清蒸菇燉豆腐,副菜,143,公克,143.3g,118,9.3,6,8.6,2.4
黑米燕麥飯,主食,100,公克,100g,219,5,2,45,2
滷海帶蒟蒻,副菜,230,公克,230g,56,4,0,9,5
薑燒凍豆腐,副菜,317,公克,317g,83,7,2,8,2
三色蛋,副菜,100,公克,100g,104,9,7,2,0
南瓜胚芽飯,主食,100,公克,100g,219,5,2,45,2
涼拌黑木耳,副菜,77,公克,76.5g,56,1,2,9,5
牛肉麵,主食,817,公克,1碗,969,35.6,51.2,88,0
奇異果,水果,125,公克,1.5個,61,1.4,0.4,14.8,2.8
哈密瓜,水果,225,公克,1個,60,1.3,0.3,14.8,1.6
葡萄,水果,130,公克,13個,61,0.8,0.2,15.5,0.7
鳳梨,水果,130,公克,兩個半圓片,61,1.2,0.2,15.1,1.8
